1,12,16,167,347
2,7,78,106,108
3,29,98,326,374
4,25,37,60,93
5,28,79,82,97
6,93,105,131,158
7,38,106,107,118
8,18,55,122,146
9,14,21,25,220
11,16,28,152,176
12,26,33,136,139
13,21,122,154,208
14,23,48,103,228
15,48,136,373,379
16,19,114,264,320
18,37,60,93,157
20,55,63,71,135
21,22,93,94,153
22,39,46,81,200
23,64,145,147,172
24,35,167,262,303
25,36,157,241,399
26,33,121,126,242
27,59,89,153,231
28,30,85,200,331
29,69,88,164,187
30,65,73,87,109
31,61,239,280,326
32,75,101,158,271
33,34,56,228,305
34,56,152,215,240
35,41,220,231,239
36,67,141,224,333
37,46,81,91,227
38,78,108,117,160
39,79,82,157,170
40,76,87,89,145
41,94,158,252,324
42,110,182,247,255
46,81,91,109,140
47,82,94,398,403
48,53,116,128,340
49,97,262,328,391
50,136,200,220,222
53,116,128,239,370
55,63,71,135,376
56,66,153,285,296
58,122,146,235,247
59,89,208,242,273
60,68,231,271,373
61,99,150,254,348
62,71,90,169,241
64,88,164,170,236
65,153,204,237,276
66,74,195,390,396
67,72,84,86,98
68,114,131,182,264
69,121,137,267,335
70,90,103,151,164
71,138,211,272,389
72,84,86,98,246
73,85,104,113,154
74,144,255,318,361
75,98,147,292,301
76,200,244,255,290
79,87,97,141,244
80,101,227,233,256
81,91,109,140,278
82,126,189,245,400
83,105,256,265,334
84,141,272,340,363
85,104,113,188,225
86,162,326,347,390
87,109,140,232,252
88,147,176,298,302
89,112,174,236,280
90,239,280,306,353
91,154,225,227,398
92,130,154,331,356
93,103,110,121,178
94,145,351,391,395
97,152,258,333,336
98,131,305,359,384
99,106,107,118,254
103,220,222,250,339
106,164,336,379,382
107,167,228,259,288
110,231,333,345,371
111,222,242,366,381
114,143,254,290,317
119,158,241,283,366
121,176,205,234,285
122,182,210,244,267
130,264,301,303,323
131,228,285,336,392
133,157,232,284,359
139,247,347,361,388
141,272,284,363,368
144,150,187,289,306
145,234,340,348,378
150,187,306,337,369
153,198,247,388,402
156,326,368,371,380
158,255,317,320,346
194,246,271,276,284
198,259,265,270,318
200,257,286,301,365
231,280,290,311,352
262,304,314,351,372
